SlNo,BookTitle,BookAuthor,BookOriginalPrice,BookNewPrice
61;"নিজের ভাষায় মার্কেটিং প্ল্যানিং";"তৌফিকুর রহমান";"TK. 250";"TK. 188"
62;"সাকসেস হান্টার";"সত্যজিৎ চক্রবর্ত্তী";"TK. 180";"TK. 135"
63;"ঘুম ভাঙছেই";"রুদ্র গোস্বামী";"TK. 240";"TK. 156"
64;"আওয়ামী আমল (২০১৪-২০১৯)";"আসিফ নজরুল ";"TK. 300";"TK. 225"
65;"দ্য $১০০ স্টার্ট আপ";"ক্রিস গাইলিবিউ";"TK. 300";"TK. 210"
66;"রাখাল";"লতিফুল ইসলাম শিবলী";"TK. 300";"TK. 225"
67;"লিপস্টিক";"শানারেই দেবী শানু";"TK. 270";"TK. 203"
68;"সেদিন";"লামইয়া চৌধুরী";"TK. 500";"TK. 375"
69;"চরের মাস্টার কম্পিউটার ইঞ্জিনিয়ার";"রাহিতুল ইসলাম";"TK. 240";"TK. 180"
70;"ছাত্রজীবনে লেখা-পড়ার সহজ ফরমূলা : মেধাবী";"অধ্যাপক আনোয়ারুল কবির";"TK. 400";"TK. 300"
71;"প্যারাসাইকোলজি: জোছনার ছায়া";"মোশতাক আহমেদ";"TK. 300";"TK. 225"
72;"অপেক্ষা-৩";"রেদোয়ান মাসুদ ";"TK. 270";"TK. 203"
73;"বাংলাদেশের মেয়ে বাংলাদেশের নারী ও অন্যান্য";"মুহম্মদ জাফর ইকবাল";"TK. 300";"TK. 225"
74;"কিছু না বলা কথা ";"শারমিন আঞ্জুম";"TK. 500";"TK. 375"
75;"ঘুরে দাঁড়ানো";"মনজুর এইচ";"TK. 225";"TK. 169"
76;"বধির নিরবধি";"আসিফ মেহ্‌দী";"TK. 150";"TK. 113"
77;"মনকাহন -২য় খণ্ড";"তানিয়া হাসান (সাইকোলজিস্ট)";"TK. 425";"TK. 319"
78;"মোটিভেশনাল মোমেন্টস - ২";"মুফতি ইসমাঈল মেন্‌ক";"TK. 330";"TK. 231"
79;"ওগো বিদেশিনি";"কয়েস সামী";"TK. 180";"TK. 135"
80;"ফ্রিল্যান্সার সুমনের দিনরাত";"রাহিতুল ইসলাম";"TK. 200";"TK. 150"
81;"হৃদয়ের কথা";"অধ্যাপক (ডাঃ) মোঃ তৌফিকুর রহমান (ফারুক)";"TK. 100";"TK. 70"
82;"বডি ল্যাংগুয়েজ";"এ্যালান পীজ্‌";"TK. 275";"TK. 206"
83;"সাইমুম সিরিজ- ৬১ : ড্রাগন ভয়ংকর";"আবুল আসাদ";"TK. 70";"TK. 49"
84;"হৃদরোগ প্রতিরোধ: স্বাস্থ্য সম্মত জীবন ব্যবস্থা";"অধ্যাপক (ডাঃ) মোঃ তৌফিকুর রহমান (ফারুক)";"TK. 150";"TK. 105"
85;"শূন্য থেকে পাইথন মেশিন লার্নিং : হাতেকলমে সাইকিট-লার্ন";"রকিবুল হাসান";"TK. 300";"TK. 225"
86;"এলিয়েন";"মিন্টু হোসেন";"TK. 170";"TK. 128"
87;"গুজরাট ফাইলস : এক ভয়ঙ্কর ষড়যন্ত্রের ময়নাতদন্ত";"রানা আইয়ুব";"TK. 300";"TK. 225"
88;"হাবলুদের ফ্রিল্যান্সিং";"জয়িতা ব্যানার্জী";"TK. 180";"TK. 135"
89;"এনলাইটেনমেন্ট থেকে পোস্ট মডার্নিজম: চিন্তার অভিযাত্রা";"পিনাকী ভট্টাচার্য";"TK. 200";"TK. 150"
90;"আমাদের ছোট রাসেল সোনা";"শেখ হাসিনা";"TK. 150";"TK. 150"
91;"শুদ্ধাচার";"মহাজাতক ";"TK. 400";"TK. 300"
92;"রেডিও জকি";"মশিউর রহমান শান্ত";"TK. 200";"TK. 150"
93;"সাফল্যের অদৃশ্য সিঁড়ি";"আবু রেজা মো. ইয়াহিয়া";"TK. 200";"TK. 140"
94;"১০০ ওয়েজ টু মোটিভেট আদারস";"স্টিভ চ্যান্ডলার";"TK. 300";"TK. 225"
95;"ইসলাম আতংক না আদর্শ";"স্বামী লক্ষ্মী শংকরাচার্য";"TK. 300";"TK. 225"
96;"দ্য আর্ট অব থিংকিং ক্লিয়ারলি";"রোল্‌ফ ডোবেলি";"TK. 350";"TK. 263"
97;"হাজার বছরের অব্যক্ত শয়তানের গল্প";"কাজী ম্যাক";"TK. 380";"TK. 266"
98;"জীবন গঠনে সাত অভ্যাস";"কালীপ্রসন্ন দাস";"TK. 400";"TK. 300"
99;"বিবিএ লাইফ";"জোনাইদ আল হাবীব";"TK. 200";"TK. 150"
100;"কম্বিনেটরিকসে হাতেখড়ি -২য় খণ্ড";"আহমেদ জাওয়াদ চৌধুরী";"TK. 350";"TK. 263"
101;"হার্ট অভ দ্য ওয়ার্ল্ড";"হেনরি রাইডার হ্যাগার্ড";"TK. 203";"TK. 179"
102;"গণিতের ধারণা ও সংখ্যাতত্ত্ব";"শক্তিপদ দত্ত (শিক্ষক)";"TK. 125";"TK. 94"
103;"ইতিহাসের ধুলোকালি";"পিনাকী ভট্টাচার্য";"TK. 270";"TK. 189"
104;"দ্য কিলিং অব ওসামা (ওসামা বীন লাদেনকে হত্যার অপকাশিত ঘটনা)";"সিমর হার্শ";"TK. 216";"TK. 162"
105;"কমিউনিকেশন স্কিল ";"নিয়াজ আহমেদ";"TK. 270";"TK. 203"
106;"কিছু বইয়ের নাম থাকে না";"তবীব মাহমুদ";"TK. 280";"TK. 175"
107;"দ্য মিরাকল মর্নিং";"হ্যাল এলরড";"TK. 250";"TK. 188"
108;"মোবাইল ফটোগ্রাফি";"সাদমান সাদিক";"TK. 270";"TK. 203"
109;"দুর্জয়-১৩ : সর্বগ্রাসী";"তৌহিদুল ইকবাল সম্পদ";"TK. 135";"TK. 101"
110;"মাথায় যত প্রশ্ন ঘোরে";"আলোঘর সম্পাদনা বিভাগ";"TK. 220";"TK. 165"
111;"উদ্যোক্তা ও ১০১ বিজনেস আইডিয়া";"আবদুল হাকিম নাহিদ";"TK. 150";"TK. 113"
112;"ক্লিওপেট্রা";"হেনরি রাইডার হ্যাগার্ড";"TK. 104";"TK. 94"
113;"জার্মান ভাষা শিক্ষা : দি ডয়চে স্প্রাখে (নিভু-আ-১) (বাংলা-জার্মান) ";"হেমায়েত মাতুব্বর";"TK. 315";"TK. 315"
114;"ইট দ্যাট ফ্রগ";"ব্রায়ান ট্রেসি";"TK. 200";"TK. 150"
115;"দ্য বিজনেস অব দ্য ২১ সেঞ্চুরি";"রবার্ট টি. কিয়োসাকি";"TK. 250";"TK. 188"
116;"অটোমান থেকে বর্তমান ক্যারিশম্যাটিক এরদোগান";"আতাউল কারিম মাকসুদ";"TK. 300";"TK. 210"
117;"অভিযোগ নেই";"রুদ্র গোস্বামী";"TK. 150";"TK. 113"
118;"সাকসেস সিক্রেট ওয়ারেন বাফেট";"জর্জ ইলিয়ান";"TK. 160";"TK. 120"
119;"পাকিস্তান : আমার ইতিহাস ";"ইমরান খান";"TK. 450";"TK. 315"
120;"হাউ টু উইন ফ্রেন্ড অ্যান্ড ইনফ্লুয়েন্স পিপল";"ডেল কার্নেগী";"TK. 300";"TK. 225"
121;"যেরকম টুনটুনি সেরকম ছোটাচ্চু";"মুহম্মদ জাফর ইকবাল";"TK. 230";"TK. 173"
122;"সাকসেস সিক্রেট এলন মাস্ক";"ইভেনডর ওয়াটসন";"TK. 150";"TK. 90"
123;"গোধূলি রিসোর্ট";"এশরার লতিফ";"TK. 270";"TK. 203"
124;"নিমিখ পানে ২";"চমক হাসান";"TK. 400";"TK. 300"
125;"আত্মনিয়ন্ত্রন";"শাইখ মুহাম্মাদ সালেহ আল-মুনাজ্জিদ";"TK. 112";"TK. 84"
126;"দ্য বিজনেস স্কুল (নেটওয়ার্ক মার্কেটিংয়ের বেস্টসেলার বই )";"রবার্ট টি. কিয়োসাকি";"TK. 300";"TK. 225"
127;"দ্য ইন্টেলিজেন্ট ইনভেস্টর";"বেঞ্জামিন গ্রাহাম";"TK. 800";"TK. 600"
128;"নীল প্রজাপতি";"মোঃ মেহেবুব হক";"TK. 300";"TK. 225"
129;"ইলুমিনাতি (গুপ্তগোষ্ঠী সিরিজ- ২)";"মো: আদনান আরিফ সালিম";"TK. 300";"TK. 225"
130;"রাজকুমারীর আর্তনাদ";"খাজা হাসান নিজামী";"TK. 216";"TK. 197"
131;"Secret Document Of Intelligence Branch on Father Of The Nation Bangabandhu Sheikh Mujibur Rahman -2nd Part 1951-1952";"শেখ হাসিনা";"TK. 900";"TK. 900"
132;"এ গেম অব থ্রোনস -১ম খণ্ড (এ সং অব আইস অ্যান্ড ফায়ার)";"জর্জ আর. আর. মার্টিন";"TK. 500";"TK. 375"
133;"ট্রান্সফরমেশন অব বিজনেস টু ই-বিজনেস";"সাঈদ রহমান";"TK. 330";"TK. 248"
134;"জার্মান ভাষা শিক্ষা : দি ডয়চে স্প্রাখে (নিভু-আ-২)(বাংলা-জার্মান)";"হেমায়েত মাতুব্বর";"TK. 400";"TK. 400"
135;"সেইসব দিনরাত্রি";"শাইখ আব্দুল মালিক আল কাসিম";"TK. 313";"TK. 235"
136;"লিডারশিপ";"ব্রায়ান ট্রেসি";"TK. 230";"TK. 173"
137;"অপশক্তি : মাসুদ রানা ৪৬১";"কাজী আনোয়ার হোসেন";"TK. 141";"TK. 106"
138;"অতিপ্রাকৃতের সন্ধানে";"আব্দুল্লাহ ইবনে মাহমুদ ";"TK. 500";"TK. 375"
139;"গেম অব থ্রোনস (আ সং অব আইস অ্যান্ড ফায়ার এর ১ম খন্ড)";"জর্জ আর. আর. মার্টিন";"TK. 400";"TK. 300"
140;"দ্য রুলস অব লাইফ";"রিচার্ড টেম্পলার";"TK. 400";"TK. 300"
141;"দ্য লাইফ অ্যান্ড বিজনেস লেসন অব বিল গেটস";"জর্জ ইলিয়ান";"TK. 150";"TK. 113"
142;"চেঞ্জ ইয়োর লাইফ ইন ৭ ডেজ";"পল ম্যাককেনা";"TK. 275";"TK. 206"
143;"সন্ধান";"হুজুর হয়ে টিম";"TK. 217";"TK. 163"
144;"ভৌতিক উপন্যাসঃ মৃত্যুপ্রাসাদ";"মোশতাক আহমেদ";"TK. 250";"TK. 163"
145;"রিচ ড্যাড'স ক্যাশফ্লো কোয়াড্র্যান্ট ";"রবার্ট টি. কিয়োসাকি";"TK. 425";"TK. 298"
146;"জাগো";"মেজর মোঃ দেলোয়ার হোসেন (ডেল এইচ খান) ";"TK. 350";"TK. 263"
147;"মুহাম্মদ আল-ফাতিহ (কনস্টান্টিনোপল বিজয়ের মহানায়ক সুলতানের জীবন-উপাখ্যান)";"ডঃ আলী মুহাম্মাদ আস- সাল্লাবী";"TK. 320";"TK. 240"
148;"চেঞ্জ ইউর লাইফ বদলে ফেলুন জীবন";"মাহমুদুল হক জালীস ";"TK. 175";"TK. 131"
149;"বিডিজবস অ্যান্ড লিঙ্কডইন আপডেটিং";"আপেল মাহমুদ";"TK. 200";"TK. 150"
150;"বৃহৎ বঙ্গ (১ম খণ্ড) (সুপ্রাচীন কাল হইতে পলাশীর যুদ্ধ পর্যন্ত)";"দীনেশচন্দ্র সেন";"TK. 750";"TK. 563"
151;"দ্য মিরাকল মর্নিং";"হ্যাল এলরড";"TK. 240";"TK. 180"
152;"নির্বাসন (রোমান্টিক থ্রিলার)";"শারমিন আঞ্জুম";"TK. 665";"TK. 499"
153;"সফলতার জন্য চাই উত্তম পরিকল্পনা";"শাইখ মুহাম্মাদ সালেহ আল-মুনাজ্জিদ";"TK. 107";"TK. 80"
154;"নিষিদ্ধ প্রেমপুরী";"মমতা নূর";"TK. 190";"TK. 143"
155;"বিজ্ঞানীদের কাণ্ডকারখানা-৩";"রাগিব হাসান";"TK. 260";"TK. 195"
156;"বৃহৎ বঙ্গ (২য় খণ্ড) (সুপ্রাচীন কাল হইতে পলাশীর যুদ্ধ পর্যন্ত)";"দীনেশচন্দ্র সেন";"TK. 750";"TK. 563"
157;"দি পাওয়ার অব হ্যাবিট";"চার্লস ডুহিগ";"TK. 360";"TK. 252"
158;"মধ্যবিত্ত";"রুহুল আমিন";"TK. 185";"TK. 139"
159;"ইয়োর নেম";"মাকোতো শিনকাই";"TK. 250";"TK. 175"
160;"কিশোরীর চোখে মুক্তিযুদ্ধ ১৯৭১";"সুরঞ্জনা মায়া";"TK. 150";"TK. 113"
161;"মার্ক জাকারবার্গ সাকসেস সিক্রেট";"জর্জ ইলিয়ান";"TK. 200";"TK. 150"
162;"প্রবৃত্তির দাসত্ব";"শাইখ মুহাম্মাদ সালেহ আল-মুনাজ্জিদ";"TK. 220";"TK. 132"
163;"চা কফি আর কোয়ান্টাম মেকানিক্স";"নাঈম হোসেন ফারুকী";"TK. 400";"TK. 300"
164;"ঘোর";"আসিফ নজরুল ";"TK. 250";"TK. 188"
165;"কনশাস প্যারেন্টিং";"ব্রুস এইচ লিপটন";"TK. 299";"TK. 224"
166;"গুপ্তধনের দ্বীপ";"তুর্জয় শাকিল";"TK. 200";"TK. 150"
167;"অ্যা হুইফ অব ডেথ";"আইজ্যাক আসিমভ";"TK. 320";"TK. 224"
168;"হোমো স্যাপিয়েন্স: রিটেলিং আওয়ার স্টোরি";"রাফান আহমেদ";"TK. 392";"TK. 294"
169;"ডিসকোর্স অন মেথড : জ্ঞানের পদ্ধতি বিষয়ে পর্যালোচনা";"পিনাকী ভট্টাচার্য";"TK. 250";"TK. 188"
170;"গরিবি অমরতা";"সুমন রহমান";"TK. 160";"TK. 120"
171;"আব্দুল্লাহ ইবনে মাহমুদ এর ইতিহাস ও অতিপ্রাকৃত বিষয়ক ২ টি বই";"আব্দুল্লাহ ইবনে মাহমুদ ";"TK. 1,100";"TK. 715"
172;"শিক্ষার্থীদের জন্য গণিত ও পদার্থের সেরা ৫টি বই";"শেখ শাফায়াত";"TK. 2,365";"TK. 1,774"
173;"ডিজিটাল যুগে মার্কেটিং";"তৌফিকুর রহমান";"TK. 200";"TK. 150"
174;"মিতু তিতুর সাবমেরিন";"মুহম্মদ জাফর ইকবাল";"TK. 135";"TK. 101"
175;"আমি পাইলট হতে চাই";"এটিএম নজরুল ইসলাম";"TK. 180";"TK. 135"
176;"দ্য ইউনিভার্স ইন আ নাটশেল";"স্টিফেন হকিং";"TK. 480";"TK. 360"
177;"২৮ লাখ তরুণের কাছে খোলা চিঠি";"জোনাইদ আল হাবীব";"TK. 250";"TK. 188"
178;"শিবিরের ক্রান্তিকাল";"ফরীদ আহমদ রেজা";"TK. 250";"TK. 175"
179;"বেলা-অবেলা";"মহিউদ্দিন আহমদ";"TK. 700";"TK. 525"
180;"রমিজের ২৯ দিন";"এম এ সিরাজী";"TK. 150";"TK. 113"
181;"দ্য কিল সুইচ";"জেমস রলিন্স";"TK. 460";"TK. 322"
182;"ব্যবসায় ভ্যাট আইনের প্রয়োগ";"মোঃ তারেক হাসান";"TK. 1,200";"TK. 900"
183;"ডাবল স্ট্যান্ডার্ড ২.০";"ডা. শামসুল আরেফীন";"TK. 392";"TK. 274"
184;"মার্কিন দুনিয়ায় পরিবর্তনের হাওয়া: সাম্প্রতিক ভূরাজনৈতিক পরিস্থিতি এবং সুপারপাওয়ারের বাস্তবতা";"আহমেদ শরীফ";"TK. 450";"TK. 338"
185;"ম্যাগপাই মার্ডার্স";"অ্যান্টনি হরোউইটয্";"TK. 480";"TK. 336"
186;"আইনস্টাইন: জীবন ও আপেক্ষিক তত্ত্ব";"শিশিরকুমার ভট্টাচার্য";"TK. 350";"TK. 263"
187;"সানজু দ্য আর্ট অব ওয়ার ফর এক্সিকিউটিভস";"ডোনাল্ড জি ক্রাউস";"TK. 250";"TK. 188"
188;"এক্স এজেন্ট (মাসুদ রানা-৪৬২)";"কাজী আনোয়ার হোসেন";"TK. 141";"TK. 106"
189;"ত্রিকোণমিতি";"ফাহমিদা নীলা";"TK. 545";"TK. 409"
190;"তাকে ভালোবেসে";"নীলা মনি গোস্বামী";"TK. 200";"TK. 150"
191;"নিশুতি-২";"মুহম্মদ আলমগীর তৈমূর";"TK. 620";"TK. 434"
192;"ইতিহাসের রূপকার তাজউদ্দীন আহমদ";"সৈয়দ মনজুরুল ইসলাম";"TK. 120";"TK. 90"
193;"চাঁদের বুড়ির বয়স যখন ষোলো";"মারজুক রাসেল";"TK. 200";"TK. 150"
194;"মরণসাক্ষী";"আগাথা ক্রিস্টি";"TK. 133";"TK. 100"
195;"গণিত অলিম্পিয়াড : ১০১ সমস্যা ও সমাধান";"নাফিস তিহাম";"TK. 200";"TK. 150"
196;"সাইকোলজি : ইসলামি দৃষ্টিকোণ";"ডঃ আইশা হামদান";"TK. 334";"TK. 251"
197;"দ্য মিরর ক্র‌্যাকড ফ্রম সাইড টু সাইড";"আগাথা ক্রিস্টি";"TK. 250";"TK. 188"
198;"বাণিজ্যের রথযাত্রা : ব্যবসা বাণিজ্য জগতে উত্থান পতন";"কিশওয়ার ইমদাদ";"TK. 220";"TK. 165"
199;"আয়না : কাশ্মীরের স্বাধীনতার প্রতিচ্ছবি ";"আফজাল গুরু";"TK. 320";"TK. 240"
200;"না বলতে শিখুন ";"ওয়াহিদ তুষার";"TK. 300";"TK. 225"
201;"দেনাপাওনা";"শরৎচন্দ্র চট্টোপাধ্যায়";"TK. 200";"TK. 150"
202;"ইসলামের ইতিহাস : নববী যুগ থেকে বর্তমান";"ড. মুহাম্মাদ ইবরাহিম আশ-শারিকি";"TK. 470";"TK. 353"
203;"রাত নিশুতি (অয়ন জিমি)";"ইসমাইল আরমান";"TK. 77";"TK. 58"
204;"খাঁচার ভিতর অচিন পাখি";"ওয়াসিকা নুযহাত";"TK. 240";"TK. 180"
205;"জাদুকর";"মুশফিক উস সালেহীন";"TK. 300";"TK. 210"
206;"টাইম ম্যানেজমেন্ট";"আবু মুআবিয়া ইসমাইল কামদার";"TK. 218";"TK. 164"
207;"অগ্নিপুরাণ";"মুহম্মদ নিজাম ";"TK. 552";"TK. 414"
208;"মাতা হারি";"মিশেল মোরান";"TK. 146";"TK. 110"
209;"কফিশপ";"সামারা তিন্নি";"TK. 260";"TK. 195"
210;"এ গেম অব থ্রোনস -২য় খণ্ড (এ সং অব আইস অ্যান্ড ফায়ার)";"জর্জ আর. আর. মার্টিন";"TK. 480";"TK. 360"
211;"আজাদির লড়াই";"অরুন্ধতী রায়";"TK. 204";"TK. 153"
212;"হামাস : ফিলিস্তিন মুক্তি আন্দোলনের ভেতর-বাহির";"আলী আহমাদ মাবরুর";"TK. 480";"TK. 336"
213;"রঙে ভরা রম্য";"রাকিব সামছ শুভ্র";"TK. 185";"TK. 139"
214;"উন্মাদ জোকস";"আহসান হাবীব";"TK. 580";"TK. 435"
215;"কাসিদ";"জয়দীপ দে ";"TK. 500";"TK. 375"
216;"পিতামহ";"সাব্বির জাদিদ ";"TK. 800";"TK. 600"
217;"রহস্যময় আদম পাহাড়";"উদয় হাকিম";"TK. 300";"TK. 225"
218;"হারুনুর রশিদের রাজ্যে";"আহমাদ আমিন";"TK. 200";"TK. 150"
219;"দ্য লাস্ট লেকচার : জীবনের জন্য শিক্ষা";"র‌্যাান্ডি পাউসচস";"TK. 300";"TK. 225"
220;"দ্য ৭ হ্যাবিটস অফ হাইলি ইফেক্টিভ পিপল";"স্টিফেন আর. কোভি";"TK. 460";"TK. 345"
221;"দ্য স্টোরি অব অ্যাপল";"সারা গিলবার্ট";"TK. 150";"TK. 113"
222;"ইতিহাসের দর্পণে খলিফা আল-মামুন";"আল্লামা শিবলি নুমান রহ.";"TK. 400";"TK. 252"
